ISS-ID,loncity,latcity,lens,large,coordimage,CoordFLAG
ISS030-E-211471,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211471.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.0&lon=17.4,5.0
ISS030-E-211471,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211471.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.0&lon=17.4,5.0
ISS030-E-211471,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211471.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.0&lon=17.4,5.0
ISS030-E-211471,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211471.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.0&lon=17.4,5.0
ISS030-E-211471,19.699024,48.669026,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211471.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.0&lon=17.4,5.0
ISS030-E-211486,19.503304,47.162494,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211486.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=47.3&lon=19.9,5.0
ISS030-E-211486,19.503304,47.162494,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211486.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=47.3&lon=19.9,5.0
ISS030-E-211486,19.503304,47.162494,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211486.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=47.3&lon=19.9,5.0
ISS030-E-211486,19.503304,47.162494,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211486.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=47.3&lon=19.9,5.0
ISS030-E-211486,19.503304,47.162494,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211486.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=47.3&lon=19.9,5.0
ISS030-E-211583,53.688046,32.427908,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211583.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=26.2&lon=53.2,5.0
ISS030-E-211583,53.688046,32.427908,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211583.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=26.2&lon=53.2,5.0
ISS030-E-211583,53.688046,32.427908,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211583.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=26.2&lon=53.2,5.0
ISS030-E-211583,53.688046,32.427908,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211583.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=26.2&lon=53.2,5.0
ISS030-E-211583,53.688046,32.427908,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211583.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=26.2&lon=53.2,5.0
ISS030-E-211583,53.688046,32.427908,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211583.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=26.2&lon=53.2,5.0
ISS030-E-211583,53.688046,32.427908,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-211583.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=26.2&lon=53.2,5.0
ISS030-E-213309,-96.8004511,32.7801399,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213309.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=33.4&lon=-95.4,5.0
ISS030-E-213309,-96.8004511,32.7801399,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213309.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=33.4&lon=-95.4,5.0
ISS030-E-213309,-96.8004511,32.7801399,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213309.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=33.4&lon=-95.4,5.0
ISS030-E-213309,-96.8004511,32.7801399,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213309.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=33.4&lon=-95.4,5.0
ISS030-E-213309,-96.8004511,32.7801399,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213309.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=33.4&lon=-95.4,5.0
ISS030-E-213309,-96.8004511,32.7801399,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213309.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=33.4&lon=-95.4,5.0
ISS030-E-213339,-122.4194155,37.7749295,200.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213339.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=36.1&lon=-122.4,5.0
