linkData,link_big,idiss,link_small,citylat,n_answers,coordimage,citylon,focal
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=239063,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-239063.JPG,239063,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-239063.JPG,47.197923,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=46.8&lon=-1.1,-1.539597,400
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=195594,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-195594.JPG,195594,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-195594.JPG,37.105004,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=36.3&lon=-111.9,-113.569812,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=234050,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-234050.JPG,234050,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-234050.JPG,42.186212,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=42.3&lon=24.5,24.320099,400
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=195511,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-195511.JPG,195511,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-195511.JPG,43.264657,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=43.7&lon=-75.8,-79.783263,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172236,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172236.JPG,172236,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172236.JPG,6.096648,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=7.1&lon=100.2,100.354495,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=271016,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-271016.JPG,271016,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-271016.JPG,37.435802,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=36.1&lon=-121.0,-121.996741,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=187829,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-187829.JPG,187829,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-187829.JPG,42.947751,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=43.0&lon=-86.7,-85.650806,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=184146,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-184146.JPG,184146,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-184146.JPG,34.871125,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=36.1&lon=137.5,136.816444,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=195532,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-195532.JPG,195532,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-195532.JPG,45.407293,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=46.1&lon=-70.2,-71.897388,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172380,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172380.JPG,172380,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172380.JPG,31.341131,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=32.4&lon=122.3,121.397998,85
